RampingRate,FlowRateGas,Time,PositionSulphur,PositionSilicon,LineWidth,Class
5,0.14,10,14,12,,1
10,0.14,10,14,12,,1
15,0.14,10,14,12,,1
20,0.14,10,14,12,,1
5,0.17,10,14,12,,1
10,0.17,10,14,12,,1
15,0.17,10,14,12,,1
20,0.17,10,14,12,,1
5,0.2,10,14,12,,1
10,0.2,10,14,12,,1
15,0.2,10,14,12,,1
20,0.2,10,14,12,,1
5,0.23,10,14,12,,1
10,0.23,10,14,12,,1
15,0.23,10,14,12,,1
20,0.23,10,14,12,,1
5,0.14,10,14,15,,1
10,0.14,10,14,15,,1
15,0.14,10,14,15,0.050324489,0
20,0.14,10,14,15,0.048823789,0
5,0.17,10,14,15,,1
10,0.17,10,14,15,,1
15,0.17,10,14,15,,1
20,0.17,10,14,15,,1
5,0.2,10,14,15,0.056586719,0
10,0.2,10,14,15,,1
15,0.2,10,14,15,,1
20,0.2,10,14,15,,1
5,0.23,10,14,15,0.055541908,0
10,0.23,10,14,15,,1
15,0.23,10,14,15,,1
20,0.23,10,14,15,,1
5,0.14,10,15,12,0.053944722,0
10,0.14,10,15,12,0.054251326,0
15,0.14,10,15,12,0.054338058,0
20,0.14,10,15,12,0.05552,0
5,0.17,10,15,12,,1
10,0.17,10,15,12,,1
15,0.17,10,15,12,0.058776732,0
20,0.17,10,15,12,0.059527153,0
5,0.2,10,15,12,,1
10,0.2,10,15,12,,1
15,0.2,10,15,12,0.06166,0
20,0.2,10,15,12,0.061701514,0
5,0.23,10,15,12,,1
10,0.23,10,15,12,,1
15,0.23,10,15,12,0.057068985,0
20,0.23,10,15,12,0.05451,0
5,0.14,10,15,15,0.0546,0
10,0.14,10,15,15,0.051617698,0
15,0.14,10,15,15,0.050324489,0
20,0.14,10,15,15,0.04143,0
5,0.17,10,15,15,0.056004783,0
10,0.17,10,15,15,0.057012434,0
15,0.17,10,15,15,0.057395573,0
20,0.17,10,15,15,0.06197,0
5,0.2,10,15,15,0.056586719,0
10,0.2,10,15,15,0.057594615,0
15,0.2,10,15,15,0.05746378,0
