x1,x2,y,l
-1,-1,-0.756802495,1
-0.9,-1,-0.746802495,1
-0.8,-1,-0.716802495,1
-0.7,-1,-0.666802495,1
-0.6,-1,-0.596802495,1
-0.5,-1,-0.506802495,1
-0.4,-1,-0.396802495,1
-0.3,-1,-0.266802495,1
-0.2,-1,-0.116802495,1
-0.1,-1,0.053197505,1
0,-1,0.243197505,1
0.1,-1,0.453197505,1
0.2,-1,0.683197505,1
0.3,-1,0.933197505,1
0.4,-1,1.203197505,1
0.5,-1,1.493197505,1
0.6,-1,1.803197505,1
0.7,-1,2.133197505,1
0.8,-1,2.483197505,1
0.9,-1,2.853197505,1
1,-1,3.243197505,0
-1,-0.9,-0.098248594,1
-0.9,-0.9,-0.088248594,1
-0.8,-0.9,-0.058248594,1
-0.7,-0.9,-0.008248594,1
-0.6,-0.9,0.061751406,1
-0.5,-0.9,0.151751406,1
-0.4,-0.9,0.261751406,1
-0.3,-0.9,0.391751406,1
-0.2,-0.9,0.541751406,1
-0.1,-0.9,0.711751406,1
0,-0.9,0.901751406,1
0.1,-0.9,1.111751406,1
0.2,-0.9,1.341751406,1
0.3,-0.9,1.591751406,1
0.4,-0.9,1.861751406,1
0.5,-0.9,2.151751406,1
0.6,-0.9,2.461751406,1
0.7,-0.9,2.791751406,1
0.8,-0.9,3.141751406,1
0.9,-0.9,3.511751406,0
1,-0.9,3.901751406,0
-1,-0.8,0.549355436,1
-0.9,-0.8,0.559355436,1
-0.8,-0.8,0.589355436,1
-0.7,-0.8,0.639355436,1
-0.6,-0.8,0.709355436,1
-0.5,-0.8,0.799355436,1
-0.4,-0.8,0.909355436,1
-0.3,-0.8,1.039355436,1
-0.2,-0.8,1.189355436,1
-0.1,-0.8,1.359355436,1
0,-0.8,1.549355436,1
0.1,-0.8,1.759355436,1
0.2,-0.8,1.989355436,1
0.3,-0.8,2.239355436,1
0.4,-0.8,2.509355436,1
0.5,-0.8,2.799355436,1
0.6,-0.8,3.109355436,1
0.7,-0.8,3.439355436,0
0.8,-0.8,3.789355436,0
0.9,-0.8,4.159355436,0
1,-0.8,4.549355436,0
-1,-0.7,0.925211521,1
-0.9,-0.7,0.935211521,1
-0.8,-0.7,0.965211521,1
-0.7,-0.7,1.015211521,1
-0.6,-0.7,1.085211521,1
-0.5,-0.7,1.175211521,1
-0.4,-0.7,1.285211521,1
-0.3,-0.7,1.415211521,1
-0.2,-0.7,1.565211521,1
-0.1,-0.7,1.735211521,1
0,-0.7,1.925211521,1
0.1,-0.7,2.135211521,1
0.2,-0.7,2.365211521,1
0.3,-0.7,2.615211521,1
0.4,-0.7,2.885211521,1
0.5,-0.7,3.175211521,0
0.6,-0.7,3.485211521,0
0.7,-0.7,3.815211521,0
0.8,-0.7,4.165211521,0
0.9,-0.7,4.535211521,0
1,-0.7,4.925211521,0
-1,-0.6,0.991458348,1
-0.9,-0.6,1.001458348,1
-0.8,-0.6,1.031458348,1
-0.7,-0.6,1.081458348,1
-0.6,-0.6,1.151458348,1
-0.5,-0.6,1.241458348,1
-0.4,-0.6,1.351458348,1
-0.3,-0.6,1.481458348,1
-0.2,-0.6,1.631458348,1
-0.1,-0.6,1.801458348,1
0,-0.6,1.991458348,1
0.1,-0.6,2.201458348,1
0.2,-0.6,2.431458348,1
0.3,-0.6,2.681458348,1
0.4,-0.6,2.951458348,0
0.5,-0.6,3.241458348,0
0.6,-0.6,3.551458348,0
0.7,-0.6,3.881458348,0
0.8,-0.6,4.231458348,0
0.9,-0.6,4.601458348,0
1,-0.6,4.991458348,0
-1,-0.5,0.841470985,1
-0.9,-0.5,0.851470985,1
-0.8,-0.5,0.881470985,1
-0.7,-0.5,0.931470985,1
-0.6,-0.5,1.001470985,1
-0.5,-0.5,1.091470985,1
-0.4,-0.5,1.201470985,1
-0.3,-0.5,1.331470985,1
-0.2,-0.5,1.481470985,1
-0.1,-0.5,1.651470985,1
0,-0.5,1.841470985,1
0.1,-0.5,2.051470985,1
0.2,-0.5,2.281470985,1
0.3,-0.5,2.531470985,0
0.4,-0.5,2.801470985,0
0.5,-0.5,3.091470985,0
0.6,-0.5,3.401470985,0
0.7,-0.5,3.731470985,0
0.8,-0.5,4.081470985,0
0.9,-0.5,4.451470985,0
1,-0.5,4.841470985,0
-1,-0.4,0.597195441,1
-0.9,-0.4,0.607195441,1
-0.8,-0.4,0.637195441,1
-0.7,-0.4,0.687195441,1
-0.6,-0.4,0.757195441,1
-0.5,-0.4,0.847195441,1
-0.4,-0.4,0.957195441,1
-0.3,-0.4,1.087195441,1
-0.2,-0.4,1.237195441,1
-0.1,-0.4,1.407195441,1
0,-0.4,1.597195441,1
0.1,-0.4,1.807195441,1
0.2,-0.4,2.037195441,0
0.3,-0.4,2.287195441,0
0.4,-0.4,2.557195441,0
0.5,-0.4,2.847195441,0
0.6,-0.4,3.157195441,0
0.7,-0.4,3.487195441,0
0.8,-0.4,3.837195441,0
0.9,-0.4,4.207195441,0
1,-0.4,4.597195441,0
-1,-0.3,0.352274233,1
-0.9,-0.3,0.362274233,1
-0.8,-0.3,0.392274233,1
-0.7,-0.3,0.442274233,1
-0.6,-0.3,0.512274233,1
-0.5,-0.3,0.602274233,1
-0.4,-0.3,0.712274233,1
-0.3,-0.3,0.842274233,1
-0.2,-0.3,0.992274233,1
-0.1,-0.3,1.162274233,1
0,-0.3,1.352274233,1
0.1,-0.3,1.562274233,0
0.2,-0.3,1.792274233,0
0.3,-0.3,2.042274233,0
0.4,-0.3,2.312274233,0
0.5,-0.3,2.602274233,0
0.6,-0.3,2.912274233,0
0.7,-0.3,3.242274233,0
0.8,-0.3,3.592274233,0
0.9,-0.3,3.962274233,0
1,-0.3,4.352274233,0
-1,-0.2,0.159318207,1
-0.9,-0.2,0.169318207,1
-0.8,-0.2,0.199318207,1
-0.7,-0.2,0.249318207,1
-0.6,-0.2,0.319318207,1
-0.5,-0.2,0.409318207,1
-0.4,-0.2,0.519318207,1
-0.3,-0.2,0.649318207,1
-0.2,-0.2,0.799318207,1
-0.1,-0.2,0.969318207,1
0,-0.2,1.159318207,1
0.1,-0.2,1.369318207,0
0.2,-0.2,1.599318207,0
0.3,-0.2,1.849318207,0
0.4,-0.2,2.119318207,0
0.5,-0.2,2.409318207,0
0.6,-0.2,2.719318207,0
0.7,-0.2,3.049318207,0
0.8,-0.2,3.399318207,0
0.9,-0.2,3.769318207,0
1,-0.2,4.159318207,0
-1,-0.1,0.039989334,1
-0.9,-0.1,0.049989334,1
-0.8,-0.1,0.079989334,1
-0.7,-0.1,0.129989334,1
-0.6,-0.1,0.199989334,1
-0.5,-0.1,0.289989334,1
-0.4,-0.1,0.399989334,1
-0.3,-0.1,0.529989334,1
-0.2,-0.1,0.679989334,1
-0.1,-0.1,0.849989334,1
0,-0.1,1.039989334,1
0.1,-0.1,1.249989334,0
0.2,-0.1,1.479989334,0
0.3,-0.1,1.729989334,0
0.4,-0.1,1.999989334,0
0.5,-0.1,2.289989334,0
0.6,-0.1,2.599989334,0
0.7,-0.1,2.929989334,0
0.8,-0.1,3.279989334,0
0.9,-0.1,3.649989334,0
1,-0.1,4.039989334,0
-1,0,0,1
-0.9,0,0.01,1
-0.8,0,0.04,1
-0.7,0,0.09,1
-0.6,0,0.16,1
-0.5,0,0.25,1
-0.4,0,0.36,1
-0.3,0,0.49,1
-0.2,0,0.64,1
-0.1,0,0.81,1
0,0,1,0
0.1,0,1.21,0
0.2,0,1.44,0
0.3,0,1.69,0
0.4,0,1.96,0
0.5,0,2.25,0
0.6,0,2.56,0
0.7,0,2.89,0
0.8,0,3.24,0
0.9,0,3.61,0
1,0,4,0
-1,0.1,0.039989334,1
-0.9,0.1,0.049989334,1
-0.8,0.1,0.079989334,1
-0.7,0.1,0.129989334,1
-0.6,0.1,0.199989334,1
-0.5,0.1,0.289989334,1
-0.4,0.1,0.399989334,1
-0.3,0.1,0.529989334,1
-0.2,0.1,0.679989334,1
-0.1,0.1,0.849989334,1
0,0.1,1.039989334,1
0.1,0.1,1.249989334,0
0.2,0.1,1.479989334,0
0.3,0.1,1.729989334,0
0.4,0.1,1.999989334,0
0.5,0.1,2.289989334,0
0.6,0.1,2.599989334,0
0.7,0.1,2.929989334,0
0.8,0.1,3.279989334,0
0.9,0.1,3.649989334,0
1,0.1,4.039989334,0
-1,0.2,0.159318207,1
-0.9,0.2,0.169318207,1
-0.8,0.2,0.199318207,1
-0.7,0.2,0.249318207,1
-0.6,0.2,0.319318207,1
-0.5,0.2,0.409318207,1
-0.4,0.2,0.519318207,1
-0.3,0.2,0.649318207,1
-0.2,0.2,0.799318207,1
-0.1,0.2,0.969318207,1
0,0.2,1.159318207,1
0.1,0.2,1.369318207,0
0.2,0.2,1.599318207,0
0.3,0.2,1.849318207,0
0.4,0.2,2.119318207,0
0.5,0.2,2.409318207,0
0.6,0.2,2.719318207,0
0.7,0.2,3.049318207,0
0.8,0.2,3.399318207,0
0.9,0.2,3.769318207,0
1,0.2,4.159318207,0
-1,0.3,0.352274233,1
-0.9,0.3,0.362274233,1
-0.8,0.3,0.392274233,1
-0.7,0.3,0.442274233,1
-0.6,0.3,0.512274233,1
-0.5,0.3,0.602274233,1
-0.4,0.3,0.712274233,1
-0.3,0.3,0.842274233,1
-0.2,0.3,0.992274233,1
-0.1,0.3,1.162274233,1
0,0.3,1.352274233,1
0.1,0.3,1.562274233,0
0.2,0.3,1.792274233,0
0.3,0.3,2.042274233,0
0.4,0.3,2.312274233,0
0.5,0.3,2.602274233,0
0.6,0.3,2.912274233,0
0.7,0.3,3.242274233,0
0.8,0.3,3.592274233,0
0.9,0.3,3.962274233,0
1,0.3,4.352274233,0
-1,0.4,0.597195441,1
-0.9,0.4,0.607195441,1
-0.8,0.4,0.637195441,1
-0.7,0.4,0.687195441,1
-0.6,0.4,0.757195441,1
-0.5,0.4,0.847195441,1
-0.4,0.4,0.957195441,1
-0.3,0.4,1.087195441,1
-0.2,0.4,1.237195441,1
-0.1,0.4,1.407195441,1
0,0.4,1.597195441,1
0.1,0.4,1.807195441,1
0.2,0.4,2.037195441,0
0.3,0.4,2.287195441,0
0.4,0.4,2.557195441,0
0.5,0.4,2.847195441,0
0.6,0.4,3.157195441,0
0.7,0.4,3.487195441,0
0.8,0.4,3.837195441,0
0.9,0.4,4.207195441,0
1,0.4,4.597195441,0
-1,0.5,0.841470985,1
-0.9,0.5,0.851470985,1
-0.8,0.5,0.881470985,1
-0.7,0.5,0.931470985,1
-0.6,0.5,1.001470985,1
-0.5,0.5,1.091470985,1
-0.4,0.5,1.201470985,1
-0.3,0.5,1.331470985,1
-0.2,0.5,1.481470985,1
-0.1,0.5,1.651470985,1
0,0.5,1.841470985,1
0.1,0.5,2.051470985,1
0.2,0.5,2.281470985,1
0.3,0.5,2.531470985,0
0.4,0.5,2.801470985,0
0.5,0.5,3.091470985,0
0.6,0.5,3.401470985,0
0.7,0.5,3.731470985,0
0.8,0.5,4.081470985,0
0.9,0.5,4.451470985,0
1,0.5,4.841470985,0
-1,0.6,0.991458348,1
-0.9,0.6,1.001458348,1
-0.8,0.6,1.031458348,1
-0.7,0.6,1.081458348,1
-0.6,0.6,1.151458348,1
-0.5,0.6,1.241458348,1
-0.4,0.6,1.351458348,1
